"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","93/4162","174/9522",0.53448275862069,1.2228123084061,2.6137519873448,0.00576340056692268,0.029151113012406,0.0185519072405902,"1387/5601/8454/816/387/4040/1459/23291/2239/5663/6932/7481/23411/57680/4776/343637/5332/6422/8840/79816/6424/7091/1855/5599/5532/22943/54894/595/81029/5467/896/6500/1452/7474/7475/27101/6425/5880/59352/9475/324/6885/80326/4609/4316/5330/51176/144165/8549/7090/7157/5567/817/6423/340419/818/6934/5331/83439/5578/147495/8324/11197/57805/7484/1857/57216/166336/6259/64321/10023/8945/5579/4088/8313/5881/1501/7480/4163/8322/8061/8607/3725/56998/23401/84133/147111/4919/8326/7088/164284/1460/5534",93
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","47/4162","81/9522",0.580246913580247,1.32751348176624,2.60839055099579,0.00647561913093876,0.0312295553958377,0.0198746378782137,"4353/50484/119391/2950/4258/2953/4832/3614/7365/7372/3704/1571/2944/2949/2947/54490/29922/7371/4259/10/7363/7498/51727/8833/3251/7084/7083/2948/2941/7364/9/10201/2940/221357/7378/7366/7367/1549/54963/1066/2946/10720/4830/2938/2939/54577/1548",47
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","56/4162","99/9522",0.565656565656566,1.29413306539688,2.59224936346831,0.00657674344535981,0.0312295553958377,0.0198746378782137,"85477/7454/56848/8611/998/2213/5337/273/1785/5788/5595/8605/3984/8936/10096/5321/5290/5335/5880/10095/10810/57180/10451/274/81873/10097/8612/207/4651/1793/50807/5578/653361/10092/10109/5580/6850/5579/255189/3635/5604/5581/5293/1072/65108/6199/8877/3985/23396/123745/5336/27040/10093/10552/4067/4082",56
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","52/4162","91/9522",0.571428571428571,1.30733850483971,2.59578503030906,0.00659162704595068,0.0312295553958377,0.0198746378782137,"2556/2773/5141/108/2778/2568/157/2564/2557/2570/59345/5136/113/2868/51764/2791/2770/50940/196883/9568/408/109/409/773/5567/2561/774/2555/5578/5137/3763/115/2785/3765/3760/107/5579/2793/94235/2786/55970/156/111/112/2567/5142/1812/2558/5138/2563/2870/5150",52
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","53/4162","93/9522",0.56989247311828,1.30382415402024,2.59442355923034,0.00659578145087039,0.0312295553958377,0.0198746378782137,"5606/5601/816/6416/998/5337/5609/108/2778/4214/3710/5332/778/5595/8605/5599/6654/5321/1958/113/2002/468/196883/1081/5330/109/5567/805/817/1956/2796/818/5331/3708/5578/2776/776/115/5580/107/5598/5579/255189/5604/111/112/3265/3725/2885/51806/123745/6714/4893",53
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","83/4162","154/9522",0.538961038961039,1.23305790797381,2.56927557807279,0.0066217395395186,0.0312295553958377,0.0198746378782137,"9254/477/816/2773/5525/782/492/483/490/5523/489/27092/108/10411/2778/6548/11069/55012/4625/9252/5332/778/5595/5516/6324/786/5528/5515/6543/7139/113/2770/468/482/196883/7137/59285/64208/480/6332/5519/486/5330/109/207/59283/5567/481/148327/805/185/817/9586/818/5331/93589/781/5578/2776/491/776/55799/90993/70/4634/115/107/783/7171/596/111/112/6330/51806/3753/64764/5501/5350/6262/5500/1388/5520/102723475",83
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","168/4162","333/9522",0.504504504504504,1.15422678805668,2.52439743764449,0.00694407820913994,0.0323131105998645,0.0205642175737337,"1387/3675/355/9519/578/535/27175/51606/5610/3918/5525/998/537/5523/4854/1739/8516/5663/5933/1286/6932/1741/3693/7481/581/2778/3655/55012/1299/51382/1869/284217/5595/7249/5934/3551/5516/898/1021/50617/3955/6009/1855/1277/9368/7448/595/7450/81029/1297/896/6908/5528/3910/7060/5515/1452/5159/8992/7337/7474/6772/7475/6654/356/63923/5290/1017/84612/11317/1026/3661/9296/3996/3691/10207/8900/1284/324/8638/1019/23493/80326/1101/9550/5519/7057/22801/1950/1280/3695/5925/7157/207/5567/148327/245973/3680/890/9586/1956/4851/56288/6934/9223/83439/8324/4599/90993/7484/3455/1857/3716/1293/5584/26508/3673/836/7098/7015/1278/7248/7148/8313/1285/5604/7059/5747/7480/5293/3456/5728/3913/256076/3265/8322/545/6199/2885/84552/84667/23513/64764/4600/84441/23545/7058/1978/1287/8326/3908/3066/55534/3914/4855/3107/3133/3135/3134/3105/4893/534/3672/5520/7124/3106/90423/9641",168
"Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","18/4162","26/9522",0.692307692307692,1.58389088086349,2.62698709437187,0.00761767369997015,0.0345860908737736,0.0220107530519265,"949/113235/2346/113278/8029/5948/10560/5826/9227/25974/8884/158835/151056/81693/686/9963/6573/6948",18
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","24/4162","37/9522",0.648648648648649,1.48400587035859,2.59921825906207,0.00763074211255177,0.0345860908737736,0.0220107530519265,"440/790/2346/259307/443/64902/56954/2744/435/5471/2571/445/27165/2752/2746/8659/84706/189/284716/18/122622/339983/8528/158",24
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","67/4162","122/9522",0.549180327868853,1.25643803026603,2.51193470707258,0.00797788566788546,0.0356959243345132,0.0227170563552474,"1387/5606/5601/2773/6416/108/2778/4214/3710/3483/5332/778/5595/2692/5599/2690/6772/6654/2691/8835/113/5290/5335/2770/468/196883/25759/5330/109/6751/207/5567/148327/9586/3486/53358/5331/3708/5578/2776/51738/776/90993/6755/115/107/5579/5604/3667/5747/2353/3726/5293/111/6777/112/3265/2885/6752/64764/8651/399694/5336/1443/4893/1388/6753",67
